№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,zywx,,27,"256
https://youtu.be/cL7uTkD4UBE",,,,,"1835008
https://youtu.be/gwiZG6r4w6s",,,10,,"101
https://youtu.be/QgBkviZVM3o",,17,"44
https://youtu.be/3naE9Bmxx_E",,"4 13248
https://youtu.be/0k_4kwbVe_g",,,,,,"6500678
https://youtu.be/OKzHUvWMzxA",342,"4257368 17
3922573402 34
3922632451 38
7834562453 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,xwyz,,14,"20
https://youtu.be/ZBb_ijTf_M8",,,,,"1003520
https://youtu.be/3iyXwhrWpls",,,1,,"201
https://youtu.be/-DACM8JFIWk",,17,"39
https://youtu.be/0B4zi5QfFI8",,"3932 9962
https://youtu.be/BZhSL_1OGDE",,,,,,"6
https://youtu.be/Wg4ESaYppJM",213,"8200 3
233920 15
532900 18
3316520 25
24919360 25
184827640 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,zwxy,,14,"65
https://youtu.be/_oKjyDLtzUU",,,,,"477703
https://youtu.be/2maSdRgzTgo",,,51,,"203
https://youtu.be/FZPszh5D09o",,33,"69
https://youtu.be/b2x1F8lljio",,"442 2423
https://youtu.be/EXg-WZiqqm8",,,,,,"132414912
https://youtu.be/smKyejaPmpo",291,"20723 64
200723 20
208423 27
2033923 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,wzyx,,16,"41
https://youtu.be/iscCcNgErBk",,,,,"216
https://youtu.be/BGkbYIRQnDU",,,103,,"304
https://youtu.be/TOZ0S2lm4vU",,"2510
https://youtu.be/70pUIQvbWc8","60
https://youtu.be/_HqPAsgdwVM",,"1703 2281
https://youtu.be/FL-RENig1vc",,,,,,"10212
https://youtu.be/pEjJqyJlynU",226,"174119610 86070
181499514 89718
183575112 90744
195106212 96444
197181810 97470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,"wxyz",,21,"59
https://youtu.be/jq6QAhq1NZ0",,,,,"72
https://youtu.be/8ZwTNR_piJI?t=269",,,18,,"307
https://youtu.be/Q6pG0YJzInc",,"2002
https://youtu.be/gsW91e8ut3I ",101,,"2886 2085
https://youtu.be/t6QCpkC0ZNw",,,,,,"54168
https://youtu.be/XH42fDKGDmY",135,"212212 508032
2527252 5588352
4282824 13789440
4626264 11787120
8125218 19595520
8824288 19908504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,yxwz,,11,"44
https://youtu.be/nSozBz4TTpE",,,,,"1440
https://youtu.be/RbNtzZljDmk?t=703",,,57,,"7
https://youtu.be/Qj-YIApovbc",,"24
https://youtu.be/Gf6DQtxnHJU",121,,3889 145,,,,,,"7795
https://youtu.be/bp80hz63HiQ",77,"10581129 90437
12589129 105791
13582129 112249
17587129 147791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,xwzy,,25,"39
https://youtu.be/535UkJef9Qo",,,,,"3645
https://youtu.be/RbNtzZljDmk?t=1020",,,103,,"504
https://youtu.be/cKI-ZJiRbbM",,"24
https://youtu.be/uUU2cqE2ycM",401,,"1318 639
https://youtu.be/vYG7-QYX-u8",,,,,,"6204
https://youtu.be/6yHUB1zdEp0",89,"1203456609 167589
1243454779 173159
1283452949 178729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,xwzy,,1110,"9
https://youtu.be/nkvTPXDteCY",,,,,"9288
https://youtu.be/RbNtzZljDmk?t=1064",,,1051,,"311
https://youtu.be/sLGEqhK5prQ",,"127
https://youtu.be/2d2Aj9C2HK8",321,,"1664 772
https://youtu.be/aZca0qzfjAY",,,,,,"43
https://youtu.be/_157zfTY7ok",128,"129135349 24269
1213501939 228059
1213555149 228069
1228613579 230899
1229571359 231079
1262135879 237199
1277513569 240089
1282781359 241079
1291135329 242649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,zyxw,,6,"8
https://youtu.be/pDlVSN0uWSk",,,,,"41493
https://youtu.be/RbNtzZljDmk?t=1099",,,4731,,"403
https://youtu.be/8oYiYw7D7Kw",,"849
https://youtu.be/g-btLorS5t0",136,,"748 981
https://youtu.be/HBTlKbBvsh4",,,,,,"9621
https://youtu.be/50sz4GY5FLg",23,"2029476 212
2021932476 211212
2023847076 211412
2024708646 211502
2025474486 211582
2026814706 211722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,xywz,,17,"24
https://youtu.be/OYj_HfiPSes",,,,,"75870
https://youtu.be/RbNtzZljDmk?t=1150",,,5962,,"390
https://youtu.be/ao-Ltt_yFdQ",,"6
https://youtu.be/r7f3xxRd5SA",81,,"266 19410
https://youtu.be/NnFVv-yZTdk",,,,,,"24
https://youtu.be/rLgjUpZDNRg",52,"1012986 234
14129856 3264
1129843026 260994
1129886316 261004
1299712986 300234
1732612986 400234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,zywx,,110,238,,,,,"174175
https://youtu.be/RbNtzZljDmk?t=1225",,,4243,,"203
https://youtu.be/Qvc8oPZ02rY",,"16
https://youtu.be/4RuIwPF4xEE",226,,"492 1062
https://youtu.be/OfWAUVbXP0Q",,,,,,"442
https://youtu.be/WSJiPi6UQUk",644,"1910599 199
191050299 19899
1910589399 198999
1921054489 200089
1922110599 200199
1951105619 203219
1964931059 204659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,2105,,,,,"36501
https://youtu.be/RbNtzZljDmk?t=60",,,1029,,"258
https://youtu.be/062AeAumSUI",,"46
https://youtu.be/V_ZYaCmc8sQ",122,,"119 49
https://youtu.be/GUiRTPBq83M",,,,,,"101
https://youtu.be/z3aXEu9diso",479,"19131511 9457
1012141291 500317
1319111311 652057
1516111051 749437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,142,,,,,"23733
https://youtu.be/lp-afhSXRQE?t=38",,,97,,13,,"60
https://youtu.be/bPhzm1Wyk5M",106,,"605 9612
https://youtu.be/Y0DPO5rpWuo",,,,,,"406
https://youtu.be/69lh1l6iNUY",1792,"632303532 22582269
632363536 22584412
632373532 22584769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,91011128,,,,,"1986
https://youtu.be/lp-afhSXRQE?t=542",,,51,,"ТИБОЛИК
https://youtu.be/ndjQYzrMpB4",,"60
https://youtu.be/pxGVhGlhpOQ",171,,"9989 19893
https://youtu.be/fvZA6JvGrjE",,,,,,"115220
https://youtu.be/4DLDx9s-8M8",1288,"9097906348 181711
9297928008 185706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,1899,,,,,"27170
https://youtu.be/lp-afhSXRQE?t=959",,,39,,"МОНИТОР
https://youtu.be/FfwbccmQ92A ",,"86
https://youtu.be/mkvMKlE4_jI",116,,"6344 9740
https://youtu.be/u4G6qmCTPt0",,,,,,"28
https://youtu.be/ypSNgF6kRDk",9511,"475912 237956
576104 288052
626200 25048
760833 253611
779619 259873
801536 25856
951824 237956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,"120
https://youtu.be/F9CNUKR0Lb4",,,,,"140
https://youtu.be/lp-afhSXRQE?t=1284",,,53,,"7777555
https://youtu.be/z6fHHzlHCXY",,"259
https://youtu.be/CvYx37N9Hik",31,,"4341 9452
https://youtu.be/ENUwSTjBw6I",,,,,,"109
https://youtu.be/eDnhVP3vHkY",177,"123445067 480331
1232245867 4794731
1238645167 4819631
12386045867 48194731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,"26
https://youtu.be/F7qG-a6bofk",,,,,"268
https://youtu.be/lp-afhSXRQE?t=1453",,,47,,"5757557575
https://youtu.be/2nt2Bk0MYZA ",,"298
https://youtu.be/5uBJQlZDuf4",15,,"310 6765
https://youtu.be/4s6EsJ2LF_Y",,,,,,"316
https://youtu.be/4WWfTyiAOxg",104,"788565321 2826399
7855635321 28156399
7865679321 28192399
78156939321 280132399
78856113321 282638399
78956553321 282998399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,"444
https://youtu.be/Ev-VB75LxVo",,,,,"1225
https://youtu.be/NYkhMzknFso?t=27",,,,,"010010
https://youtu.be/o3lx59TBWnw",,"48
https://youtu.be/HTiHs-q3-yA",-18,,"774 9700
https://youtu.be/9xlXgfFXVmw",,,,,,"31894
https://youtu.be/GQsXwQrdYLA",126,"81878006 18011
8185804906 1800661
8446518006 1858011
8780876306 1931561
8894980906 1956661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,"16
https://youtu.be/DE3jwzt5XqY",,,,,"8649
https://youtu.be/NYkhMzknFso?t=518",,,,,"32
https://youtu.be/8fcafxFAa0Y",,"282
https://youtu.be/QXUPYRuimd8",19,,"207 12709
https://youtu.be/3NQH9S5-Pxs",,,,,,"4
https://youtu.be/X-gYs4VLkVM",65,"152004241 12329
1129027201 33601
1320668281 36341
1628203201 40351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,"160
https://www.youtube.com/watch?v=FTb8a5kU7uA&t=21s",,,,,"11249
https://youtu.be/NYkhMzknFso?t=1087",,,,,"53
https://youtu.be/HRHjkFmDGC8",,"304
https://youtu.be/OFM8DQuJwr0",153,,40 41441,,,,,,"58
https://youtu.be/G5wADcDXMsc",68,"9097906348 181711
9297928008 185706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,"375
https://youtu.be/FTb8a5kU7uA?t=604",,,,,"138677
https://youtu.be/lbu4iH-jgxM",,,,,"26
https://youtu.be/5s-H2OowoZ4",,"2882
https://youtu.be/iJuoMpIo2z8",-31,,15 30033000,,,,,,"60
https://youtu.be/N8LCb1KhATk",59,"2254325931 2216643
2454329151 2413303
2554320591 2511623
2954327031 2904943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,4096,,,,,"61446
https://youtu.be/nptmS0GRWY8",,,,,"28
https://youtu.be/x_k4jONxJGg",,"5324
https://youtu.be/8L8s-h2O6Nk",89,,13 17500,,,,,,"112
https://youtu.be/VTs1YdJMtdk",147,"12343000 3
123400269 17
123421875 23
1234200000 2
1234509249 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,131058,,,,,"322264
https://youtu.be/ye8p4Up1u6A",,,,,"107
https://youtu.be/dFtFJq53-qw",,"1303
https://youtu.be/LlJrcG76PIo","22
https://youtu.be/wAcJj5FF7o8",,"8514 5176
https://youtu.be/wx4r1gY3JG0",,,,,,"70470
https://youtu.be/hwTaVMZ8ScI",77,"193595230 48170
1035977630 257770
1135930160 282640
1335955790 332410
1835959580 456820
1935952300 481700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,"87
https://youtu.be/vI9KJHfyWfE",,,,,"1478
https://youtu.be/JX4huhEQDh4",,,,,"11
https://www.youtube.com/watch?v=pnulg6ffJL8",,"902
https://youtu.be/GplS9BbRY2I",23,,"6 17500
https://youtu.be/tAZa5sBPrF4",,,,,,"57
https://youtu.be/eRcEPtzGpJA",72,"12056537 38767
12153569 39079
12451507 40037
12459593 40063
12655523 40693
12854563 41333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,"227
https://youtu.be/5rz3takBChg",,,,,"414400
https://youtu.be/JSsQt_cvBHA",,,,,"33
https://youtu.be/V_uwCuF1ZyM",,"5686
https://youtu.be/6kZfDDWLzho",14,,"10 3507
https://youtu.be/7E-xt8Hlt3Q",,,,,,"319
https://youtu.be/nyM1WZOS-p0",199,"124282 62143
1204282 602143
1214182 607093
1224082 612043
1229482 614743
1244482 622243
1295482 647743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,"94
https://youtu.be/wkkyiQUaTNg",,,,,"418530
https://youtu.be/tELs9otdfG8",,,,,"299
https://youtu.be/JhkqhI-kWKc",,"13950
https://youtu.be/Bq84IwWkdJE",23,,"745 19763
https://youtu.be/n8kSewJbz3g",,,,,,"333
https://youtu.be/hAGm6P1ZmF0",83,"12340001 90073
123400010 900730
123437000 901000
1234000100 9007300
1234370000 9010000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,"5482
https://youtu.be/LKhk4g7XoI0",,,,,"720
https://youtu.be/us_SHAPRyQ8",,,,,"28
https://youtu.be/2aaH7458FzE",,"280
https://youtu.be/tXBhOdB6hcQ",29,,"2096 1466
https://youtu.be/IeUKHS2izMg",,,,,,"71280
https://youtu.be/P9bwyEAn5LE",2379,"2023 1
204323 101
2025023 1001
20232023 10001
202302023 100001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,"1475
https://youtu.be/KFK_d299yOk",,,,,"1440
https://youtu.be/HjVUrHmbWuA",,,,,"2212122
https://youtu.be/HmDRpQk_lwc",,"12642
https://youtu.be/E5m-2Q47E7o",14,,"2504 19763
https://youtu.be/1bmSOENttDg",,,,,,"26906168
https://youtu.be/Yw9rUg4z5jo",502,"500001 666672
500048 968874
500069 500070
500079 666776
500114 750174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,"1503
https://youtu.be/QFoyzm-ccyE",,,,,"10080
https://youtu.be/rCLQncFaX6A",,,,,"199
https://youtu.be/wvBsHkVfWOQ?t=38
https://youtu.be/TX0zMMAXctw",,"15
https://youtu.be/AmXT--L3Y4k",19,,"155 10059
https://youtu.be/Ek1XXflJQPc",,,,,,"1936064
https://youtu.be/T6f3cayn5B4",200,997920 498960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,"25
https://youtu.be/nblHuLE7Dzc",,,,,"3600
https://youtu.be/m8qqmR9K6LQ",,,,,"46
https://youtu.be/wvBsHkVfWOQ?t=381
https://youtu.be/08gxWLPRSxs",,"3000
https://youtu.be/KjC94kkttvw",59,,"91 9961
https://youtu.be/nkDGUGNjuo8",,,,,,"8538
https://youtu.be/B5DE-ZAfwFc",26,"123240365679 30710283
123441015679 30760283
123641665679 30810283
123842315679 30860283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,"96
https://youtu.be/vwGfU4LRRI0",,,,,"756000
https://youtu.be/svko-AIYNPI",,,,,"195
https://youtu.be/wvBsHkVfWOQ?t=697
https://youtu.be/tsBy1l1TO80",,"322122548
https://youtu.be/EHA7hdilWMo",35,,"1417 1022
https://youtu.be/aqWSFkAX2dk",,,,,,"16965
https://youtu.be/9zID1otyl-8",11,"321657 159
34105757 16859
35117257 17359
36128757 17859
37140257 18359
38151757 18859
39163257 19359
https://youtu.be/qYNOTrBoKGU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,"19
https://youtu.be/B_r7kOK3PJo?t=2610",,,,,"192
https://youtu.be/JHyY9Fq_BZE",,,,,"50
https://youtu.be/rlzra4I7y80?t=27
https://youtu.be/-vdiY0z7URA",,"145
https://youtu.be/woKaPxIO1sg",82,,"172 9815
https://youtu.be/yCqEYXDL4aQ",,,,,,"1559549
https://youtu.be/X_sUC0TRHCU",404903289,"10022676 5212
12522576 6512
15022476 7812
17522376 9112
19829976 10312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,"15
https://youtu.be/fbxL8Ex3Pxk
https://youtube.com/shorts/267w8YmJtZ8",,,,,"75599
https://youtu.be/r3Yh0fpI_7E",,,,,"25
https://youtu.be/rlzra4I7y80?t=373
https://youtu.be/MRS11i-BmO0",,"83
https://youtu.be/HENR4ym0KL4",73,,"2105 5211
https://youtu.be/LC5ZvzoGuwU",,,,,,"20709
https://youtu.be/yPUfvoY1HuY",283733,"1253475 619
12103425 5977
12593475 6219
12913425 6377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,"11
https://youtu.be/D8czuW6kF9E",,,,,"423359
https://youtu.be/KccbqFW1NxY",,,,,"645
https://youtu.be/rlzra4I7y80?t=721
https://youtu.be/gTj2jp7kLpI",,"8
https://youtu.be/364ywvEPpPw","49
https://youtu.be/EVD-7dSE4gs",,"1093 3148
https://youtu.be/VOtldVSQJDM",,,,,,"484575
https://youtu.be/PwVT6F8qxmE",5513,"24268335 1866795
24868935 1912995
240068335 18466795
240668935 18512995
242668335 18666795
248468935 19112995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,"16
https://youtu.be/aVAFevefBQQ",,,,,"3888
https://youtu.be/-y_PHByCZXg",,,,,"489
https://youtu.be/rlzra4I7y80?t=1140
https://youtu.be/Pd3_joEc6mE",,"47
https://youtu.be/HZisVIkUi_0","28
https://youtu.be/jGeHinyAbJo",,"3098 29764
https://youtu.be/scaZBtU4Hq8",,,,,,"366
https://youtu.be/v3_qW-dLJrQ",31201,"4212 13
5292 7
7232 113
8232 7
8262 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,"67
https://youtu.be/Ysc5RZPcD-w",,,,,"5528
https://youtu.be/MexTxYbP0uo",,,,,"75
https://youtu.be/rlzra4I7y80?t=1434
https://youtu.be/aR2ESP3pR3o",,"3
https://youtu.be/f0PfGdbaHdQ","8
https://youtu.be/JvswOYp7E-8",,"5305 3148
https://youtu.be/NAP3XLfTmh4",,,,,,"9
https://youtu.be/TFNuriB6h6U",142844,"1999769891 988517
1895989991 937217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,"68
https://youtu.be/MjeCIxpLpcE",,,,,"54
https://youtu.be/7Q6xzws5i0s",,,,,"6
https://youtu.be/RkyGjRqv6ts",,"7
https://youtu.be/efNhnZW9gdU","54
https://youtu.be/qVVUGqwsrCg",,"877 28668
https://youtu.be/12PUXEXS2R4",,,,,,"37
https://youtu.be/dgeGqHvFZhI ",140,"48886437600 3456
64250746560 3584
73329656400 3600
80313433200 3840
97772875200 4032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,"27
https://youtu.be/ICBfZr_3F2o",,,,,"899979336
https://youtu.be/Y4nBGMngf34",,,,,"1
https://youtu.be/kSxL4qER0Bk",,"14
https://youtu.be/K3SZyZldOnE","89
https://youtu.be/2WXAyPxYXPA",,"212 9932
https://youtu.be/2UOA5aG3a1U",,,,,,"6370599
https://youtu.be/X4NgLJGVscU",989,"69750 129792
69752 122080
69756 139536
69758 75152
609750 1103232
609752 1291248
609754 630840
https://youtu.be/C4vAu1dpEr8?si=hqP3HJCtlkU4AK7D&t=13072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,"249998
https://youtu.be/T1BV3wtgTec",,,,,"218530000
https://youtu.be/HjN8PgpJh_Q",,,,,"42
https://youtu.be/JxDfWgxJQik",,"6
https://youtu.be/VUi8h814HPE","18
https://youtu.be/1TqhSBQPB3I",,"74 28571
https://youtu.be/uACKGpy7nis",,,,,,12,1032,"122157574 918478
1021575394 7681018
1421575554 10688538
1821575714 13696058
https://youtu.be/tFbZrqPNI4Y?si=-vmMBWWtTOqt-CZI&t=13659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,"7826
https://youtu.be/4ySLS_LxsdY",,,,,"5400
https://youtu.be/bp_WV1MKOpQ",,,,,"13
https://youtu.be/ysClVRw2Gtc",,"8
https://youtu.be/3nScdIrdcdA","86
https://youtu.be/yvokMBKXW_8",,"3151 3850
https://youtu.be/fuHnH9G8YQk",,,,,,11,670,"35155307 14509
319518587 131869
325551857 134359
338151457 139559
351453727 145049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,"18750
https://youtu.be/-VI4CSMwjJg",,,,,"5888
https://youtu.be/kn6hNWz2H0A",,,,,"253
https://youtu.be/4365Cb9tEoo",,"7
https://youtu.be/AjHrvDuJI_g","10
https://youtu.be/aVDetf9Qruk",,"43 4130
https://youtu.be/21Xg716WEt8",,,,,,64,821,"907319527 323927
910316597 324997
931352107 332507
984431057 351457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,"24
https://youtu.be/YOByCAhsRtc",,,,,"49545216
https://youtu.be/2yUPeiU3Z60",,,,,"96
https://youtu.be/ZpvP2bcBymo",,"6
https://youtu.be/m85kRhtcfaA","32
https://youtu.be/iWiPR-ZHny8",,"465 5000
https://youtu.be/Ao3Ej7sf7K4",,,,,,288,910,"53545061 23557
524351551 230687
535057381 235397
535852931 235747
549354551 241687
557355511 245207
583585931 256747
591359591 260167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,92,,,,,"256901120
https://youtu.be/T9PCd4jmaxU",,,,,"1
https://youtu.be/4xO8kG60_OQ",,"10
https://youtu.be/ufV58om2k_8","14
https://youtu.be/MNVGBJtFIwM",,"46 14694
https://youtu.be/Fg_-8ikv2YQ",,,,,,14,836,"71503447 31541
72115537 31811
721543027 318281
748815037 330311
752215537 331811
781573187 344761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,"25
https://youtu.be/7vu7wFPMCGc",,,,,"851443712
https://youtu.be/_ZAmdvRwTTg",,,,,"5
https://youtu.be/B_r7kOK3PJo?t=6606
https://youtu.be/2o5wQBqAoR8",,"740
https://youtu.be/M9qwrjqTr-I","35
https://youtu.be/cUkNs6LGC7U",,"206 16651
https://youtu.be/nF31M4pTOyU",,,,,,54,999,"75323971 28673
715313711 272293
753536561 286843
775393201 295163
785323261 298943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,"30
https://youtu.be/6SqNzPe0G6c",,,,,"2800
https://youtu.be/mRwbibGupc0",,,,,"10
https://youtu.be/BmYOPQ4DzCU",,"12
https://youtu.be/UrsgK4LMiXI","11
https://youtu.be/lLcU9mF4UsQ",,"47 26763
https://youtu.be/W0JIVQMotGE",,,,,,42,796,"1203458670898 5842032383
1223459670896 5939124616
1233450670896 5987624616
1253451670894 6084716849
1273452670892 6181809082
1293453670890 6278901315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,"219
https://youtu.be/FTaT4rnlMp8",,,,,"285687
https://youtu.be/dCpREKLfNWY",,,,,"128
https://youtu.be/F0Ysh7-Sc5w",,"257
https://youtu.be/Nk8Vou1lLXI","119
https://youtu.be/OL3jIEdFGJc",,"78 10945
https://youtu.be/1E9zYC3X2xA",,,,,,1912,708,"600001 437
600002 47
600003 1227
600005 217
600012 16667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,"39
https://youtu.be/OykeBPhMW08",,,,,"34560
https://youtu.be/TZHGB28CqVI",,,,,"168
https://youtu.be/TEeo4JzHboM",,"1092
https://youtu.be/cVletEEz0uQ","16
https://youtu.be/_i3N2Lw5TaY",,"96 13398
https://youtu.be/WA2HzLly9YY",,,,,,207,873,"800004 400004
800009 114294
800013 266674
800024 400014
800033 61554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,"166
https://youtu.be/pJdv5--EPTM",,,,,"360
https://youtu.be/_EpYRQtly7Y",,,,,"135
https://youtu.be/3UmqlyebBXw",,"3
https://youtu.be/wcvCYZcM5VY","11
https://youtu.be/T3ZdU65y6xA",,"10 3483
https://youtu.be/YS5_YpM6830",,,,,,36,430,"700024 350014
700045 140014
700049 100014
700224 350114
700233 233414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,"8
https://youtu.be/AlhWW3JtPqw",,,,,"512000
https://youtu.be/bYxnlI8qq30",,,,,"186
https://youtu.be/xe43swAsAZY",,"175
https://youtu.be/6izCaZ26IGc","31
https://youtu.be/oq5g4RcfotA",,"25 5750
https://youtu.be/99GVn7mGOoU",,,,,,60,961,"900220 450112
900327 300112
900535 180112
902220 451112
903327 301112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,"2025
https://youtu.be/997Rq3Ppugc",,,,,"399360
https://youtu.be/ocO1ynXNMMo",,,,,"134
https://youtu.be/8TBpoqv9gDo",,"76
https://youtu.be/Mm3rFiruLuA","119
https://youtu.be/f0LrN9NZlms",,"257 19
https://youtu.be/lZtCyNOlsT8",,,,,,3048,22,"799957 42122
799960 399982
799977 266662
799980 399992
799985 160002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,"141
https://youtu.be/gcyLpyuwngo
https://youtube.com/shorts/njEa4pMq7e4",,,,,"895483904
https://youtu.be/M6LAsknTHbQ",,,,,"118
https://youtu.be/P9ysf7E7NBU",,"174
https://youtu.be/1h2pIrW7eLM","40
https://youtu.be/MTmKeHKI8Os",,"486 48
https://youtu.be/mSu_aEd3mzg",,,,,,975,118,"999677 142818
999737 21318
999832 499918
999945 333318
999977 90918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,"20
https://youtu.be/9Ey3k0P9904",,,,,"298322640
https://youtu.be/TNlb3A7L53o",,,,,"21
https://youtu.be/j8NzqY-f0f0",,"478
https://youtu.be/YHmaPpbMS1w","550
https://youtu.be/Czb0NoTqZYA",,"1193 60
https://youtu.be/lyPOYGUirpk",,,,,,12318,19,"895535 179112
896220 448112
897327 299112
898220 449112
899047 39112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,5872,,,,,"2620547276
https://youtu.be/QR3EtP7E_Eo",,,,,"56
https://youtu.be/MUhxkkIdKec",,"3
https://youtu.be/JTKnAsLwUnM","102
https://youtu.be/LCfGvJruNyw",,"1895 9984
https://youtu.be/slHWMZWULrM",,,,,,115,89,"800001 309
800003 47059
800004 409
800006 269
800007 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,3145,,,,,"15719036
https://youtu.be/8dopvAgG3Ck",,,,,"45
https://youtu.be/KqvI95M0dmU",,"3
https://youtu.be/k1qXrSmvD0Y
https://youtu.be/FLCe6RlJ6do","6575
https://youtu.be/C_iNANkocYw",,"3 74280
https://youtu.be/WIfcHnvzN9M",,,,,,174034068,55,"8912485671 991047
8915435375 991375
8917485779 991603
8934455570 993490
8937405274 993818
8939455678 994046
8958475873 996161
8961425577 996489
8980445772 998604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,156,,,,,"1128227308
https://youtu.be/zC4Dfs87kWo",,,,,"63
https://youtu.be/LG6UrxdeU6U",,"915
https://youtu.be/oWlbKlYyOvo","106
https://youtu.be/yQNOfZGipVA",,"2 124339
https://youtu.be/xx8k0ieksVo",,,,,,360,74,"800004 400004
800009 114294
800013 266674
800024 400014
800033 61554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,46598,,,,,"992476800
https://youtu.be/2-CRvT5eaDM",,,,,"111
https://youtu.be/f9Ifa_OzgA4",,"5
https://youtu.be/exJMZQZz9P0","88
https://youtu.be/-NNK4tlCBA4",,"15067 199479
https://youtu.be/5pNUuPTrz6k",,,,,,324,76,"351261495 183235
3212614035 1675855
3412614645 1780185
3712414275 1936575
3912414885 2040905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,3799,,,,,"2076464049
https://youtu.be/tH6IMtROwFc",,,,,"97
https://youtu.be/UhidZrVpKiA",,"5718
https://youtu.be/35idoZCRB0Q","42
https://youtu.be/P-CY00T7r_c",,"4984 696
https://youtu.be/BMPDSHKHPdI",,,,,,30,75,"106729561 10331
116229961 10781
129254161 11369
150822961 12281
191296561 13831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
